Calories,Protein,Fat,Carbs,User_Allergy,Milk,Peanut,Egg,Gluten,Risk
737,32,4,92,1,0,0,0,1,High Risk
886,22,5,11,0,1,0,1,1,Moderate Risk
473,10,41,36,0,1,0,0,0,Moderate Risk
951,41,16,40,0,1,0,1,0,Moderate Risk
508,47,36,33,0,0,0,0,0,Safe
766,13,48,56,0,1,0,1,0,Moderate Risk
602,35,30,100,1,0,0,1,1,High Risk
438,22,46,73,1,1,1,1,1,High Risk
446,42,12,31,0,1,1,1,0,Safe
327,27,36,104,1,1,0,0,0,High Risk
280,24,46,11,0,1,0,1,0,Moderate Risk
457,46,34,16,0,0,1,0,1,Safe
207,27,13,88,0,0,0,1,1,Safe
720,33,39,96,0,0,1,0,1,Moderate Risk
335,38,16,70,0,1,0,1,1,Safe
539,35,47,20,0,1,0,1,1,Moderate Risk
813,10,17,54,1,1,1,0,1,High Risk
791,11,58,50,1,1,1,1,0,High Risk
643,42,54,48,1,1,1,1,0,High Risk
919,5,6,83,0,1,0,1,0,Moderate Risk
813,9,27,46,1,0,0,1,0,High Risk
468,38,23,75,1,0,1,0,1,High Risk
617,25,6,19,0,1,1,0,0,Safe
844,12,31,23,0,0,0,1,1,Moderate Risk
140,45,9,119,0,1,0,1,1,Safe
709,30,10,35,0,1,1,1,0,Moderate Risk
371,8,1,38,0,1,0,0,1,Safe
287,31,47,73,0,0,0,1,0,Moderate Risk
177,34,7,35,1,0,0,0,1,High Risk
834,19,29,25,0,0,1,1,0,Moderate Risk
791,45,25,16,1,0,1,0,0,High Risk
341,29,35,115,0,1,0,0,0,Safe
105,18,27,118,1,0,0,1,1,High Risk
992,9,43,98,0,1,1,0,1,Moderate Risk
309,44,53,89,0,0,0,0,0,Moderate Risk
234,23,47,25,1,1,0,0,0,High Risk
967,32,36,74,0,0,0,0,1,Moderate Risk
483,17,2,12,0,0,0,1,0,Safe
603,23,8,76,1,0,1,1,1,High Risk
193,22,3,18,0,1,1,1,0,Safe
365,18,59,77,0,1,1,1,1,Moderate Risk
788,47,39,95,1,1,1,0,0,High Risk
618,43,54,85,0,1,0,0,0,Moderate Risk
335,5,40,38,0,0,0,0,1,Safe
735,41,9,89,1,1,1,0,1,High Risk
950,18,28,81,0,0,1,1,0,Moderate Risk
452,6,11,23,0,1,0,1,0,Safe
389,23,10,12,0,0,1,0,1,Safe
322,28,46,62,1,0,1,0,1,High Risk
924,43,22,62,1,0,0,0,1,High Risk
396,44,58,66,0,0,0,1,0,Moderate Risk
479,20,39,35,1,0,0,1,1,High Risk
123,42,47,50,0,1,0,0,1,Moderate Risk
477,45,38,54,0,1,0,0,1,Safe
250,45,28,111,0,0,1,1,0,Safe
371,29,25,52,1,1,0,1,0,High Risk
536,48,12,106,1,1,0,1,0,High Risk
564,37,33,116,1,1,1,1,1,High Risk
648,27,23,82,1,1,0,1,0,High Risk
605,35,35,117,0,1,0,0,1,Safe
490,21,53,10,1,1,1,0,0,High Risk
421,33,26,74,0,0,1,1,1,Safe
205,17,44,51,0,0,1,0,1,Moderate Risk
977,16,13,90,0,1,1,1,1,Moderate Risk
406,30,39,116,1,0,0,0,1,High Risk
772,12,51,95,1,1,0,1,1,High Risk
224,13,39,63,1,1,1,0,1,High Risk
103,45,23,94,1,1,0,0,0,High Risk
423,33,44,87,1,0,1,1,1,High Risk
700,42,26,89,1,0,1,1,1,High Risk
331,42,33,90,0,1,0,1,1,Safe
921,22,15,30,0,0,0,0,1,Moderate Risk
706,35,37,90,0,0,1,0,0,Moderate Risk
453,48,23,56,0,0,1,1,0,Safe
110,39,51,17,1,0,0,0,0,Moderate Risk
174,34,30,95,0,0,0,0,0,Safe
621,39,29,41,0,0,1,0,1,Safe
340,11,20,18,1,1,1,1,0,High Risk
439,16,27,89,0,0,0,0,0,Safe
599,30,38,72,0,0,1,1,0,Safe
421,41,40,64,0,1,1,0,1,Safe
882,41,28,16,1,1,0,1,1,High Risk
736,24,50,27,0,1,1,0,1,Moderate Risk
391,22,50,75,1,1,0,0,1,High Risk
166,5,10,14,1,1,0,0,0,High Risk
209,45,7,57,0,0,1,1,1,Safe
663,15,12,54,0,0,1,1,1,Safe
174,15,25,47,1,1,1,0,1,High Risk
722,36,34,10,1,0,0,1,1,High Risk
185,17,7,15,1,0,0,0,1,High Risk
653,38,23,112,0,0,0,0,1,Safe
